name,stand,country,description,sectors
clinkerAtlas,"22B-25, Hall 22",Morocco,"ClinkerAtlas is an industrial AI leader revolutionizing cement production. We provide Autonomous AI solutions for cement grinding mills to solve the industryâs most critical challenge, energy waste ",Internet of Things (IOT); Artificial Intelligence; Coding and Development; Smart Manufacturing; Data Extraction; Computer Vision; Autonomous Vehicles / Systems; Industrial Software & Process Optimization; Factory Automation; Energy Management & Sustainability
Club des Dirigeants,"10E-11, Hall 10",Morocco,,
Codecy,"22C-23, Hall 22",Morocco,"Traditional coding education suffers from tool fragmentation, forcing schools and students to juggle separate video apps, local IDEs, and disconnected LMS platforms. This friction hinders real-time co","Software Services; Coding and Development; Education Tech; Mobile Applications; ERP (Enterprise Resource Planning) Software; Application integration and infrastructure; Mobile learning solutions; Learning management infrastructure, methods and systems; Learning Improvement Tech & Devices; EdTech & Smart Classroom Solution"
Collectivites Territoriales,"8D-40, Hall 8",Morocco,"Les collectivitÃ©s territoriales au Maroc<br />
La RÃ©gion, la prÃ©fecture ou province, et la commune constituent les trois niveaux de l'organisation territoriale du Royaume. Chacune est une collectiv",Cyber security; Smart Cities; Software Services; Cloud Services; Data Centres; Mobility Enterprise Solutions; Mobile Applications; ERP (Enterprise Resource Planning) Software; Business Process Management; Business Intelligence Solutions
COLYA,"TBC, TBC",Morocco,"COLYA is an AI-powered decentralized logistics platform transforming last-mile delivery in Morocco. By digitizing trusted neighborhood âMol Hanoutâ shops into smart micro-hubs, COLYA enables effic",Future Mobility & Transportation; Artificial Intelligence; Smart Cities; Retail Tech; Ecommerce; Planning and Optimization; Machine Learning; Data Extraction; Computer Vision; Smart Services
COMPUCOM,"6E-06, Hall 5",Morocco,"Compucom is a regional leader in technology services, offering comprehensive IT solutions for businesses of all sizes. With more than 30 years of expertise in the field, CompuCom has built a solid rep",Big Data & Analytics; Cloud Services; Cyber security; Telecommunication & Network Security; Software Development Security; Security Credentials; Ransomware; Network & Infrastructure Security; Intrusion Detection & Penetration Testing; Endpoint Protection & Mobile Security
Conseil Regional du Tourisme de Marrakech,"8B-10, Hall 8",Morocco,The Conseil RÃ©gional du Tourisme de Marrakech (CRT Marrakech) plays a key role in promoting Marrakech as one of Moroccoâs top travel destinations.,
CORPOSUP,"TBC, TBC",Morocco,"CorpoSup is a B2B platform designed to connect companies and industrial suppliers around a clear objective: generating real business opportunities.<br />
<br />
The platform enables companies to expre","Media, Marketing & Advertising Tech; Artificial Intelligence; Big Data & Analytics; Creative Economy; Ecommerce; Marketing Automation; Digital Marketing; Data Analytics; Platforms; Advertising"
Courtee,"23C-35, Hall 23",Morocco,"The first AI-native lending platform with global connectivity, designed to serve consumers, real estate developers, and autonomous AI agents.<br />
<br />
Our infrastructure comprises two products: Ke",Cyber security; Artificial Intelligence; Blockchain; Digital Finance; Creative Economy; Gaming; Advertising; Security / Cybersecurity; Decentralised Finance; AI-optimized Hardware
CrÃ©dit Agricole du Maroc,"16C-50, Hall 16",Morocco,"CrÃ©dit Agricole du Maroc has over 60 years of history and has evolved into a universal bank with a strong public service mission. It plays a key role in supporting rural development, farmers, and nat",Digital Finance; Banking Solutions
CrÃ©dit Du Maroc,"16C-70, Hall 16",Morocco,"CrÃ©dit du Maroc, a subsidiary of the Holmarcom Group, is a universal bank serving all customer segments.<br />
A key economic and financial player, and a long-term partner to the Moroccan economy, th",Digital Finance; Software Services; Finance & Accounting Software; E-KYC; Banking Solutions
CUIMAR,"22D-23, Hall 22",Morocco,"Cuimar is a Moroccan materials startup bringing Moroccan leather to the global stage through sustainable innovation. The company produces leather from diverse sources, including fish waste and bovine ",Incubator/Accelerator/Investment; Creative Economy; Sustainability & Green Climate - Tech; Trade & Industry Associations; Research and Development; Fashion; Design
CYBER DEFENSE WORLD WIDE,"20D-96, Hall 20",Morocco,"CyberDefense is a cybersecurity consulting company specializing in penetration testing, red teaming, security audits, and incident response. Our mission is to help organizations identify vulnerabiliti","Cyber security; Phishing; Network & Infrastructure Security; Legal, Regulations, Investigations & Compliance; Intrusion Detection & Penetration Testing; Internet of Things (IoT) Security; Endpoint Protection & Mobile Security; Digital Forensics & Incident Response; Data Governance, Risk & Compliance; Cryptography"
Cyber Sqool,"TBC, TBC",Morocco,"Cyber Sqool is Moroccoâs 1st integrated digital safety EdTech ecosystem, protecting kids from online threats like cyberbullying and scams. We bridge the gap between schools and parents through gamif",Artificial Intelligence; Blockchain; Coding and Development; Digital Finance; Ecommerce; Gaming; Security / Cybersecurity; Education & Training; Artificial Intelligence; Security / Cybersecurity
Cybrforge,"23B-73, Hall 23",Morocco,"CYBRFORGE, established in 2023, is a 100% Moroccan company built on more than 20 years of extensive experience in cybersecurity across various sectors (Finance, Industry, Insurance, Mining, Public Adm","Cyber security; Coding and Development; Telecommunication & Network Security; Software Development Security; Security Architecture & Design; Network & Infrastructure Security; Legal, Regulations, Investigations & Compliance; Internet of Things (IoT) Security; Data Governance, Risk & Compliance; Cloud Security"
D4SD,"11B-30, Hall 11",Morocco,,
DarSee.App,"22C-36, Hall 22",morocco,"DarSee.App is a PropTech startup transforming the African real estate market through a single mission: Automating Trust.<br />
<br />
We solve the critical lack of transparency in off-plan projects. T",PropTech; Digital Finance; Tenant Experience; CRM; Data & Analytics; Construction Tech; AI & IoT; E-KYC; Digital Payment; Asset Management / Personal Finance / Wealth Management
Dashy,"20C-40, Hall 20",Morocco,"Dashy is a Moroccan fintech and commerce technology company transforming WhatsApp into a complete business, sales, and payment engine for merchants and service providers across emerging markets.<br />","Digital Finance; Retail Tech; Ecommerce; Media, Marketing & Advertising Tech; Artificial Intelligence; Payments - Omnichannel Payments; E-commerce & M-commerce - Social Commerce; E-Payment Solutions; E-Commerce Solutions; Chatbots / Virtual Assistant"
DATA VALUE AI,"23B-04, Hall 23",Morocco,"SYSTEME AND DATA DRIVEN conÃ§oit et dÃ©veloppe des solutions permettant dâindustrialiser lâusage de la data dans les organisations, en couvrant lâensemble de la chaÃ®ne de valeur :  prÃ©paration","Media, Marketing & Advertising Tech; Artificial Intelligence; Software Services; Big Data & Analytics; Retail Tech; Data Analytics & Automation; Data & Analytics - Price Tracking, Conversion Tools & Analytics; Data Analytics; Artificial Intelligence; Machine Learning"
Datao,"TBC, TBC",Morocco,"Datao is an innovative AI-powered platform dedicated to monitoring and analyzing public procurement in Morocco. We automate the search, reading and tracking of tenders published on official portals, s","Internet of Things (IOT); Media, Marketing & Advertising Tech; Software Services; Procurement Software; Data Analytics & Automation; Business Intelligence Solutions; Data Analytics; Data Science; Cloud Services; Artificial Intelligence"
DataPathology,"22B-09, Hall 22",Morocco,"DataPathology is a deep-tech leader dedicated to transforming the landscape of medical diagnostics. Founded at the intersection of healthcare and artificial intelligence, we specialize in providing en",Artificial Intelligence; Big Data & Analytics; Blockchain; Coding and Development; Cloud Services; Mobile Technology; Machine Learning; Digital Transformation; Deep Learning; Data Warehouse
DATAPROTECT,"Sponsorship, Sponsorship",Morocco,DATAPROTECT is a leading cybersecurity company providing comprehensive 360Â° protection and strategic support. It strengthens organizationsâ cyber resilience through an integrated approach covering ,"Cyber security; Blockchain; Cloud Services; Digital Finance; E-Payment Solutions; Ransomware; Phishing; Operations Security; Legal, Regulations, Investigations & Compliance; Internet of Things (IoT) Security"
DATAPROTECT,"6D-50, Hall 6",Morocco,DATAPROTECT is a leading cybersecurity company providing comprehensive 360Â° protection and strategic support. It strengthens organizationsâ cyber resilience through an integrated approach covering ,"Cyber security; Telecommunication & Network Security; Software Development Security; Security Credentials; Ransomware; Phishing; Operations Security; Network & Infrastructure Security; Legal, Regulations, Investigations & Compliance; Intrusion Detection & Penetration Testing"
DataStory,"4D-20, Hall 3",Morocco,"DataStory is a Data & AI consulting firm and product studio. We help organizations design, build and run modern data platforms (cloud, on-prem or hybrid), analytics/BI and AI use casesâfrom strategy",Artificial Intelligence; Smart Cities; Software Services; Big Data & Analytics; Cloud Services; Machine Learning; Deep Learning Platforms; Data Extraction; Computer Vision; Chatbots / Virtual Assistant
DAWI - Where healthcare starts,"TBC, TBC",Morocco,"Every day, hundreds of millions of people search for health information worldwide, yet outcomes donât improve. Diagnostic errors affect millions globally, and delayed detection significantly increas",HealthTech; Healthcare IT; Community Health Services; Medical Travel
DEALKHIR DaaS,"TBC, TBC",Morocco,"Dealkhir is a fintech solution designed to help businesses increase conversion, retention, and customer lifetime value by integrating impact-driven experiences into their existing journeys.<br />
<br ","Media, Marketing & Advertising Tech; Artificial Intelligence; Blockchain; Cloud Services; Digital Finance; Content Marketing; Fund Raising and Investment; E-Commerce Solutions; Crowd Funding; Big Data / Digitisation / Analytics"
DEEPAL,"15C-20, Hall 15",Morocco,"Deepal is a new-energy automotive brand from the Chinese group Changan, specializing in intelligent electric vehicles with range-extender (REEV) technology. Officially launched in Morocco in 2025, the",
DeepLeaf SARLAU,"22D-41, Hall 22",Morocco,DeepLeaf is building AGI for agriculture â a full-stack AI infrastructure powering food security intelligence for governments and smart decision-making for every stakeholder in the agricultural valu,AgriTech & FoodTech; Soil Plant Health; Smart Farming and Connectivity; Organic Agriculture; New Food Systems; IoT; Insect farming technologies; Food Losses & Waste; Fertilizer and Fertilizer Technology; Equipment for Vertical farming and Rooftop Farming
Desktech - RICOH Morocco,"6A-4, Hall 6",Morocco,"Desktech is a leading Moroccan provider of printing, document management, digital workplace, and cybersecurity solutions, and a strategic Ricoh partner in Morocco. We supply and integrate multifunctio",
Dev & Trade / Namate,"13D-70, Hall 13",Morocco,"Al Namate - IT Services specializes in digital transformation through advanced portal solutions based on Liferay. Positioned at the intersection of low-code and deep-code, we help organizations accele",
DEVOTEAM,"3D-10, Hall 3",Morocco,"With a strong presence across Europe, the Middle East and Africa, Devoteam acts as a trusted partner for enterprises and public sector organizations facing complex digital challenges.<br />
Devoteam d","Artificial Intelligence; Big Data & Analytics; Blockchain; Cloud Services; Cyber security; Cloud Management Platform; Cloud Management & Optimisation; Business Continuity, Back-up & Disaster Recovery; Applications including Development, Deployment & Design; Security / Cybersecurity"
DGSSI,"7B-40, Hall 7",Morocco,The General Directorate for the Security of Information Systems (DGSSI) is Moroccoâs national authority responsible for the protection of information systems and the resilience of critical digital i,"Cyber security; Software Development Security; Security Architecture & Design; Network & Infrastructure Security; Intrusion Detection & Penetration Testing; Data Governance, Risk & Compliance; Application Security, Testing & Control"
DIEZE,"9E-4, Hall 9",Morocco,"Dieze is a leading company in outsourcing customer relationship management and IT services. Our group masters every aspect of operational excellence.<br />
<br />
Since 2015, Dieze has been supporting","Coding and Development; Cloud Services; Consumer Tech, Smart Home & Smart Workplace; Ecommerce; Security / Cybersecurity; ERP / Business Management; Tablets / Laptops; Video Game Development; Gaming; Enterprise Resource Planning - ERP"
DIGIFAB,"23B-18, Hall 23",Morocco,"DigiFab is a specialized Digital Services Company (DSC) dedicated to accelerating corporate digital transformation through the Microsoft ecosystem. We provide end-to-end support, covering every stage ",Artificial Intelligence; Software Services; Coding and Development; Cloud Services; Content Creation; Chatbots / Virtual Assistant; Machine Learning; Enterprise Applications; Devops; Data Sciences
Digitgrow,"23B-19, Hall 23",Morocco,"DigitGrow empowers ambitious SMBs to scale by replacing manual chaos with intelligent automation. We are a specialized AI agency that engineers custom solutions, rejecting one-size-fits-all tools to f",Artificial Intelligence; Coding and Development; Web Development; Python; Operating Systems Development; Machine Learning; Frontend Development; Backend Development; Artificial Intelligence; Predictive APIs
DIGROW,"23B-58, Hall 23",Morocco,"NetCardAI : An AI-powered platform for relationship management, networking, and outreach. It helps businesses organize contacts, track interactions, identify leads, and automate personalized follow-up",HealthTech; Artificial Intelligence; Networking & Infrastructure; Digital Finance; Education Tech; Data Management Technology; Healthcare IT; Dealers and Distributors Healthcare; EdTech & Smart Classroom Solution; Data Analytics / Big Data / IoT
Digybiou Agency,"20D-79, Hall 20",Morocco,"DigyBiou Agency is an eCommerce digital marketing agency that designs and builds its own 360Â° SaaS platform to help online brands grow faster, smarter, and at scale.<br />
<br />
We combine performan",Artificial Intelligence; Cloud Services; Creative Economy; Software; Advertising; AI-optimized Hardware; Artificial Intelligence; Design; Data as a Service - DAAS; Cloud Management & Optimisation
Dino,"22D-04, Hall 22",Morocco,"Dino is an AI-powered insurance platform that simplifies how people discover, understand, purchase, and manage insurance in mobile-first markets across Africa and MENA. Through natural voice and chat ",Artificial Intelligence; Big Data & Analytics; Analytics as a service; Speech Recognition; Optical character recognition (OCR); Data Extraction; Computer Vision; Chatbots / Virtual Assistant
Disrock,"11D-40, Hall 11",Morocco,"DISROCK est le distributeur exclusif de la marque ROCKSPACE au Maroc et en Afrique francophone.<br />
<br />
Nous distribuons nos solutions dans plus de 1800 points de vente, Ã  travers des machines d","Mobile Accessories & Peripherals; Future Mobility & Transportation; Smart Cities; Consumer Tech, Smart Home & Smart Workplace; Mobility & Transport; Accessories - Tempered glasses; Accessories - Cases & Covers; Micromobility & E-Mobility; Smart Appliances / Gadgets; Electronic Equipment & Instruments (Barcode Readers, POS Machines, Etc)"
DISTRICAP,"18B-30, Hall 18",Morocco,"DISTRICAP est une sociÃ©tÃ© marocaine spÃ©cialisÃ©e dans la distribution de solutions de sÃ©curitÃ© Ã©lectronique, de systÃ¨mes audiovisuels professionnels et dâÃ©quipements de courant faible destin","Consumer Tech, Smart Home & Smart Workplace; 5G & Telecommunications; Video; Video Systems & Equipment; Office Automation & Equipment; Audio Systems & Equipment; Communication Equipment; Headphones; Healthcare Electronics"
Disty Technologies,"2B-80, Hall 2",Morocco,"Disty Technologies is a leading IT distributor in Morocco, providing a wide range of cutting-edge technology solutions and products. We specialize in the importation and distribution of IT hardware, s","Big Data & Analytics; Cloud Services; Consumer Tech, Smart Home & Smart Workplace; Gaming; Cybersecurity; PC Gaming; Printing Solutions; Storage; Networks; High Performance Computing - HPC"
Docdialy,"TBC, TBC",Morocco,"Docdialy connects doctors and patients through a SaaS platform and a mobile app, with integrated teleconsultation.",HealthTech; Medical Travel; Medical Practice; Healthcare IT; Healthcare Investor; Healthcare Consultancy Service; Government; Community Health Services
DONGFENG,"15D-25, Hall 15",Morocco,"Dongfeng Motor Corporation is a leading player in the Chinese automotive industry. Founded in 1969 and headquartered in Wuhan, the company ranks among the worldâs top enterprises, with a presence in",Future Mobility & Transportation; Smart Cities; Mobility & Transport; Electric Vehicle OEMs (Passenger); Autonomous Vehicles / Systems; ADAS or Advanced Driver Assistance Systems Radar; ADAS  or Advanced Driver Assistance Systems Sonar; ADAS  or Advanced Driver Assistance Systems Camera System
EcoFinance Analytics SAS,"22D-01, Hall 22",Morocco,"EcoFinance Analytics is Moroccoâs first Investment Super-App, designed to democratize access to financial markets. Currently, 99% of Moroccans are locked out of the stock market due to a lack of fin",Artificial Intelligence; Big Data & Analytics; Digital Finance; Asset Management / Personal Finance / Wealth Management; Social Media Data; Chatbots / Virtual Assistant
Ecowatt,"23B-25, Hall 23",Morocco,"Ecowatt, based in Morocco and Senegal, provides comprehensive energy solutions for agriculture, industry, and residential sectors, including energy studies, distribution, installations, and maintenanc",Energy Tech; AgriTech & FoodTech; Sustainability & Green Climate - Tech; Ecommerce; Environmental Solutions - Wind; Environmental Solutions - Water; Environmental Solutions - Solar; Energy Transition - Usage Efficiency; Energy Transition - Smart Grid; Energy Transition - Energy Storage
Ederest,"23C-02, Hall 23",Morocco,"Ederest transforms the digital employee experience by bridging the gap between complex software and user proficiency. Our platform provides contextual, in-app support that eliminates traditional train","Artificial Intelligence; Software Services; 3D Printing & Printing Services; Cloud Services; Digital Finance; HR Tech; Education & Training; Artificial Intelligence; Enterprise Resource Planning - ERP; Solutions for component processing - Operation and Process Organizing Software (ERP, PPS, BDE)"
EdgeFlow Pricing,"23B-20, Hall 23",Morocco,"EdgeFlow Pricing is an AI-powered market intelligence and pricing optimization platform designed for businesses selling online. The platform tracks competitor prices, market trends, and social media s","Artificial Intelligence; Big Data & Analytics; Retail Tech; Ecommerce; Artificial Intelligence; Machine Learning; Data & Analytics - Price Tracking, Conversion Tools & Analytics; Data & Analytics - Business Intelligence; E-commerce & M-commerce - Product Search & Discovery; Data & Analytics - Data Warehouse/Decision Support"
EinveX,"22C-27, Hall 22",Morocco,EinveX is a Sharia-compliant fintech platform helping investors identify and access halal investment opportunities. Our mission is to connect ethical capital with compliant investments while simplifyi,Artificial Intelligence; Software Services; Big Data & Analytics; Regulatory Technology; Digital Finance; Mobile Applications; Data Analytics & Automation; Business Process Management; Business Intelligence Solutions; Application integration and infrastructure
ELDOVERSE,"22D-33, Hall 22",Morocco,"ELDOVERSE is a pioneering tech startup dedicated to building next-generation software products and scalable digital ecosystems. Headquartered in Morocco, we bridge the gap between advanced technology ",Artificial Intelligence; Software Services; AgriTech & FoodTech; Cloud Services; Ecommerce; Agriculture 4.0 (Crop Production and Livestock); Autonomous systems; Climate-Smart Agriculture; Cloud Solutions; Digital control systems
ElixBrand,"22B-54, Hall 22",Morocco,"ElixBrand is an AI Brand Intelligence platform providing predictive protection through unmatched features:<br />
1. Proprietary Dual-Data Engine: We merge 400k+ global sources (news, social, video) 2M","Media, Marketing & Advertising Tech; Cloud Services; Data Analytics; Software as a Service - SaaS; Monitoring; Data as a Service - DAAS; Big Data & Analytics; Marketing Automation; Social Media Management & Monitoring; Public Relations & Communications"
ENGELVIN,"12-C55, Hall 12",Morocco,,
Enterprise Services CDG,"8C-10, Hall 8",Morocco,"DXC Technology is a joint venture between DXC Technology and Caisse de DÃ©pÃ´t et de Gestion (CDG), established in 2007. The company supports organizations in their digital transformation through a co","Artificial Intelligence; Cloud Services; Digital Finance; Education Tech; Ecommerce; Applications including Development, Deployment & Design; Analytics; Analyst; Assessment and testing; eCommerce Software"
EPSON,"1B-20, Hall 1",Morocco,,
ESS Technologies,"22B-74, Hall 22",Morocco,"ESS Technologies is an innovative startup dedicated to empowering the next generation of engineers while optimizing modern industries. Our flagship EdTech ecosystem, IsmaTronic, is a comprehensive com",
ev24.africa,"20D-42, Hall 20",Morocco,"EV24 is a pan-African electric mobility platform powered by Auto24.africa, dedicated to accelerating the adoption of electric vehicles across all African countries.<br />
<br />
We provide a comprehen","Media, Marketing & Advertising Tech; Future Mobility & Transportation; Sustainability & Green Climate - Tech; Ecommerce; Mobility & Urbanization - Electrification; Distribution; Digital Marketing; Data Analytics; Micromobility & E-Mobility; Fleet Management"
Evollume.com,"23C-27, Hall 23",Morocco,Evollume is an end-to-end digital trade infrastructure platform designed to simplify international commerce for businesses across Africa and emerging markets. The platform enables companies to manage ,Artificial Intelligence; Big Data & Analytics; Blockchain; Digital Finance; Ecommerce; Supply Chain Solutions; Smart Contracts; Platforms; Transactional Platforms; Taxation Solutions
EWASH,"22D-34, Hall 22",Morocco,"Ewash has been pioneering waterless car washing in Morocco for over 6 years â saving 300 liters of water per wash and eliminating carbon emissions by bringing the service directly to the car.<br />
",Sustainability & Green Climate - Tech; Environmental Solutions - Water; Sustainable Systems - Carbon Utilization
ExcelWay,"23C-32, Hall 23",Morocco,"ExcelWay is a Moroccan software company that develops a collaborative platform to help organizations manage brainstorming sessions, tasks, projects, and team workflows in one place. The platform enabl",
EXEED,"15D-10, Hall 15",Morocco,"EXEED- exclusively imported by M-Automotiv- is a premium automotive brand focused on delivering high-end vehicles that combine advanced technology, refined design, and intelligent performance, with a ",Future Mobility & Transportation; Smart Ports (Sea & Air); Smart Grids & Metering; Smart & Connected Parking; Public Safety & Security; Motor Design Software; Intelligent Transportation Solutions (ITS); Electric Vehicle OEMs (Public & Fleet: Bus/ Trucks); Drive Systems - In-Wheel Motor Systems; Connected Mobility Solutions
EXIA TECHNOLOGIES,"16B-30, Hall 16",Morocco,"EXIA Technologies is an integrated technology group dedicated to digital transformation, operational performance and high-value technology ecosystems.<br />
<br />
We support public and private organi",Artificial Intelligence; Software Services; Coding and Development; Cyber security; Networking & Infrastructure; Domain Name Systems; Data Management Technology; Consulting System & Integration Services; Bridges; Telecommunication & Network Security
EXPERLIK,"22C-24, Hall 22",Morocco,"Experlik is a digital platform connecting qualified experts with clients through seamless online consultations.<br />
<br />
In Morocco, many experts still operate offline, limiting their reach and re",HealthTech; Artificial Intelligence; Big Data & Analytics; Coding and Development; Education Tech; Healthcare Consultancy Service; Virtual classroom technology and services; Educational Support & Other Service; Coaching and mentoring; Web Development
Fantastic App,"22B-72, Hall 22",Morocco,"Fantastic is a Moroccan all-in-one super app designed to simplify everyday life by combining quick commerce, on-demand services and fintech into a single platform.<br />
<br />
Fantastic connects cust",Digital Finance; Ecommerce; Platforms; E-Wallets; E-Payment Solutions; E-Commerce Solutions; Digital Payment
Fbr cÃ¢bles,"13C-20, Hall 13",Morocco,"**FBR â Company Profile**<br />
<br />
FBR is an industrial company specialized in the manufacturing of fiber optic cables and connectivity solutions for telecommunications, data networks, and infra","Internet of Things (IOT); Smart Cities; 5G & Telecommunications; Retail Tech; Data Centres; Building Services, Management & Consulting; Architecture - Design & Planning; Customer Experience & Retention - CRM Systems; Customer Experience & Retention - Chatbots; Industrial IoT (IIoT) & Connectivity"
FEDERATION APEBI,"11D-40,11D-20,11C-20, Hall 11",Morocco,"APEBI FEDERATION, more than 30 years supporting ICT sectorâs development!<br />
<br />
VISION<br />
Establish Kingdomâs digital sovereignty and meet digital transformation challenges both for stat",AgriTech & FoodTech; Coding and Development; Cyber security; Artificial Intelligence; 5G & Telecommunications; Telecommunication & Network Security; Software Development Security; Security Credentials; Security Architecture & Design; Ransomware
Feizhoucom,"23B-59, Hall 23",Morocco,Feizhoucom fait le lien entre les marques et les dÃ©veloppeurs/concepteurs pour transformer les idÃ©es en solutions digitales efficaces. Nous proposons Ã©galement un service de Business Analysis qui p,"Media, Marketing & Advertising Tech; Software Services; Coding and Development; Creative Economy; Sustainability & Green Climate - Tech; Sustainable Systems - Carbon Tech; Mobile Applications; UX & UI; Public Relations & Communications; Software"
Fertidev,"23B-72, Hall 23",Morocco,"Fertidev develops and operates decentralized composting solutions for large organic waste producers. We help businesses manage their organic waste locally instead of sending it to landfill, reducing t",Smart Cities; AgriTech & FoodTech; Sustainability & Green Climate - Tech; Fertilizer and Fertilizer Technology; Autonomous systems; Sustainable Systems - Recycling; Sustainable Systems - Carbon Capture; Food & Agriculture; Decarbonisation Solutions & Technologies; Facilities Management
FEZARI INTERNATIONAL CHESS ACADEMY,"22D-35, Hall 22",Morocco,"What if chess was the world's best leadership training tool? We built a company on that belief.<br />
<br />
Led by Mohamed Amin EL FEZARI: National Chess Champion and International Coach with a backg",Gaming; Artificial Intelligence; Software Services; Creative Economy; Education Tech; Mobile Applications; HR Tech; Data Analytics & Automation; CRM (Customer Relationship Management) Software; Business Intelligence Solutions
Fido,"22B-33, Hall 22",Morocco,"FIDO (fido.ma) is a Moroccan LegalTech / FinTech platform designed to help entrepreneurs create, manage, and operate their businesses entirely online through a single digital interface.<br />
<br />
I",Artificial Intelligence; 3D Printing & Printing Services; Big Data & Analytics; Coding and Development; Cloud Services; Operating Systems Development; Machine Learning; Frontend Development; Enterprise Applications; Devops
FINDCHARGE,"22B-45, Hall 22",Morocco,"FindCharge is a Moroccan electric mobility platform building the digital layer for EV charging. We help drivers find charging stations, access reliable charging information, and in the near term charg",Future Mobility & Transportation; Smart Cities; Software Services; Digital Finance; Smart Services; Mobile Applications; Mobility Enterprise Solutions; Mobility & Transport; Building Technology & Innovation; Micromobility & E-Mobility
FINREBRAND OS,TBC,Morocco,"GÃ©nÃ¨re + de leads, signe + de clients, libÃ¨re ton entreprise du bouche-Ã -oreille grÃ¢ce Ã  nos process et mÃ©thodes, dÃ©jÃ  appliquÃ©s par + 120 entreprises B2B et B2C.<br />
<br />
LancÃ©e en 202","Media, Marketing & Advertising Tech; Software Services; Cloud Services; Total Solution Provider; Platform as a Service - PaaS; Data Analytics & Automation; CRM (Customer Relationship Management) Software; Tracking & Targeting (CDP, CPP); Performance Marketing; MarTech Training"
FINTHREAD,"23D-03, Hall 23",Morocco,"FinThread is transforming access to financial intelligence in Africa. We offer a unified platform connecting investors to global and African markets, providing clear analysis and concrete investment o",Artificial Intelligence; Big Data & Analytics; Blockchain; Quantum & High Performance Computing; Digital Finance; Analytics as a service; Machine Learning; Data Extraction; Chatbots / Virtual Assistant; Artificial Intelligence
FireLirn,"23C-13, Hall 23",Morocco,"FireLirn is an EdTech startup building an AI-powered institutional visibility layer for schools and educational institutions. We help institutions detect learning difficulty earlier, before it becomes",Artificial Intelligence; Big Data & Analytics; Education Tech; Chatbots / Virtual Assistant; Cognitive computing; Machine Learning; Natural Language Processing (NLP); Pattern Recognition; Predictive APIs; Dashboard
FireThunder,"11D-20, Hall 11",Morocco,"FireThunder is a Moroccan healthcare technology company specialized in designing and deploying next-generation medical information systems for hospitals, clinics, and diagnostic centers.<br />
<br />
",HealthTech; Healthcare IT
FiTogether,"22C-17, Hall 22",Morocco,"92% of fitness app users quit within 30 days. FiTogether is Africaâs first AI-powered Social Fitness OS, solving the real coordination problem behind that churn by matching compatible sports partner","HealthTech; Media, Marketing & Advertising Tech; Artificial Intelligence; Software Services; Coding and Development; UX & UI; Web Development; Mobile Applications; Sports; Other Business"
Fonds Mohammed VI pour l'Investissement,"Sponsorship, Sponsorship",Morocco,"The Mohammed VI Investment Fund is Moroccoâs sovereign investment fund, established under the High Guidelines of His Majesty King Mohammed VI to drive economic recovery and long-term development. Wi",
FootLab by Verto Solutions,"TBC, TBC",Morocco,"Footlab is a sports-tech startup building an AI-powered performance intelligence platform for football academies and clubs. The platform centralizes player data, structures development workflows, and ","Media, Marketing & Advertising Tech; Big Data & Analytics; Coding and Development; Creative Economy; Education Tech; Dashboard; Artificial Intelligence; Content Marketing; Content Creation; Sporting Infrastructure"
FORCEPOINT,"6C-35, Hall 6",Morocco,"Arrow Electronics is a global technology company specializing in IT solutions, combining hardware, software, and services.<br />
<br />
The company supports organizations in deploying IT infrastructur",Cyber security; Software Services; Cloud Services; CRM (Customer Relationship Management) Software; Telecommunication & Network Security; Software Development Security; Ransomware; Phishing; Network & Infrastructure Security; Endpoint Protection & Mobile Security
geniepot,"22C-22, Hall 22",Morocco,"Geniepot is Morocco's first performance-based influencer marketing platform. Any brand can launch a campaign. Any creator can earn a living doing what they love.<br />
Brands create a Challenge in und",
GEO4NET,"13C-50, Hall 13",Morocco,"GEO4NET is a Moroccan-based technology company specializing in fleet management systems, GPS tracking, and AI-powered video telematics. With a strong presence across North and West Africa, we deliver ","Future Mobility & Transportation; Telematics & Connected Vehciles; Fleet Management; Fleet & Logistics Solutions; Drive Systems - HV/ EV Drive Systems; Data, IoT, Ai,Â  RFID, Embedded Systems; Connectors, Harnesses - In-Vehicle Connectors; Connected Mobility Solutions; Bus Technology; ADAS or Advanced Driver Assistance Systems Radar"
GEOAP,"TBC, TBC",Morocco,"GEOAP is a private Earth Observation company specializing in geospatial intelligence and downstream SpaceTech solutions. We transform multi-source satellite data, including optical and radar (SAR), in",Artificial Intelligence; Space Tech; Big Data & Analytics; AgriTech & FoodTech; Sustainability & Green Climate - Tech; Sustainable Systems - Climate Intelligence; Sustainable Finance; Government Authorities & Environment Agencies; Environmental Solutions - Water; Real-Time Analytics
geteam,"22B-18, Hall 22",Morocco,"geteam.ai is the Intelligence Layer for the Future of Work. We're not recruiters,  we're Transformation Partners. Our AI-native platform verifies the top 3% of tech talent from proven code, not self-r",Artificial Intelligence; Software Services; Big Data & Analytics; Coding and Development; Machine Learning; Machine Learning; Artificial Intelligence; HR Tech; Data Extraction; Natural Language Processing (NLP)
